"mutant_id","module","component","file","target","mutation_type","original_behavior","mutated_behavior","rationale","execution_method","tests_selected"
"MUT-INTB-001","Integration Boundary Middleware","EnsureIntegrationBoundary::handle","app/Http/Middleware/EnsureIntegrationBoundary.php","Missing bearer token guard","Guard condition inversion","Reject only when bearer token is empty.","Reject when bearer token is present.","Validates boundary auth gate correctness.","manual-scripted","tests/Feature/Api/IntegrationBoundarySkeletonTest.php | tests/Feature/Api/Integration/IntegrationRateLimitTest.php"
"MUT-INTB-002","Integration Boundary Middleware","EnsureIntegrationBoundary::handle","app/Http/Middleware/EnsureIntegrationBoundary.php","Source-system validation","Logical operator change","Accept only X-Source-System=crm.","Reject requests where source-system is crm.","Checks test sensitivity to source-system governance rule.","manual-scripted","tests/Feature/Api/IntegrationBoundarySkeletonTest.php | tests/Feature/Api/Integration/IntegrationRateLimitTest.php"
"MUT-INTB-003","Integration Boundary Middleware","EnsureIntegrationBoundary::isTokenAllowed","app/Http/Middleware/EnsureIntegrationBoundary.php","Legacy allowlist fallback","Return value modification","Allow non-empty bearer token when allowlist is empty.","Deny all tokens when allowlist is empty.","Tests whether successful integration flows would detect fallback breakage.","manual-scripted","tests/Feature/Api/IntegrationBoundarySkeletonTest.php | tests/Feature/Api/Integration/IntegrationRateLimitTest.php"
"MUT-RDR-001","Integration Reservations Read API","ReservationReadController::index","app/Http/Controllers/Api/Integration/ReservationReadController.php","Pagination validation","Logical operator change","Reject if page OR per_page invalid.","Reject only if both page AND per_page invalid.","Verifies detection of weakened pagination validation.","manual-scripted","tests/Feature/Api/Integration/ReservationReadTest.php"
"MUT-RDR-002","Integration Reservations Read API","ReservationReadController::show","app/Http/Controllers/Api/Integration/ReservationReadController.php","Not-found branch","Guard condition inversion","Return 404 when reservation is null.","Return 404 when reservation exists.","Verifies detail response correctness and negative path tests.","manual-scripted","tests/Feature/Api/Integration/ReservationReadTest.php"
"MUT-RDR-003","Integration Reservations Read API","ReservationReadController::index","app/Http/Controllers/Api/Integration/ReservationReadController.php","user_id UUID validation","Logical operator change","Reject non-UUID user_id filter.","Reject only UUID user_id filter values.","Evaluates validation test precision for invalid identifiers.","manual-scripted","tests/Feature/Api/Integration/ReservationReadTest.php"
"MUT-MUT-001","Integration Reservations Mutate API","ReservationMutateController::approve","app/Http/Controllers/Api/Integration/ReservationMutateController.php","Approve role gate","Guard condition inversion","Deny approve without reservations.approve role.","Deny approve when reservations.approve role exists.","Checks role authorization test effectiveness for approve path.","manual-scripted","tests/Feature/Api/Integration/ReservationMutateTest.php"
"MUT-MUT-002","Integration Reservations Mutate API","ReservationMutateController::approve","app/Http/Controllers/Api/Integration/ReservationMutateController.php","Idempotency-key guard","Guard condition inversion","Reject when Idempotency-Key is missing.","Reject when Idempotency-Key is present.","Checks defensive header validation assertions.","manual-scripted","tests/Feature/Api/Integration/ReservationMutateTest.php"
"MUT-MUT-003","Integration Reservations Mutate API","ReservationMutateController::reject","app/Http/Controllers/Api/Integration/ReservationMutateController.php","Reject payload required fields","Logical operator change","Reject when cancel_origin OR cancel_reason_code is missing.","Reject only when both fields are missing.","Checks negative reject-path coverage for partial payload.","manual-scripted","tests/Feature/Api/Integration/ReservationMutateTest.php"
"MUT-MUT-004","Integration Reservations Mutate API","ReservationMutateController::context","app/Http/Controllers/Api/Integration/ReservationMutateController.php","Operator header mapping","Key lookup alteration","Reads operator id from X-Operator-Id header.","Reads operator id from misspelled header X-Operator-Idx.","Tests whether current suite validates context payload details sent to service.","manual-scripted","tests/Feature/Api/Integration/ReservationMutateTest.php"
"MUT-DOC-001","Integration Document Management API","DocumentManagementController::show","app/Http/Controllers/Api/Integration/DocumentManagementController.php","Document id validation","Guard condition inversion","Reject non-UUID document ids.","Reject UUID document ids.","Ensures UUID validation tests kill inverted guards.","manual-scripted","tests/Feature/Api/Integration/DocumentManagementTest.php"
"MUT-DOC-002","Integration Document Management API","DocumentManagementController::patch","app/Http/Controllers/Api/Integration/DocumentManagementController.php","No-mutable-fields guard","Guard condition inversion","Reject only when patch payload has no mutable fields.","Reject when mutable fields are present.","Checks patch success assertions against guard inversion.","manual-scripted","tests/Feature/Api/Integration/DocumentManagementTest.php"
"MUT-DOC-003","Integration Document Management API","DocumentManagementController::index","app/Http/Controllers/Api/Integration/DocumentManagementController.php","per_page upper bound rule","Constant alteration","per_page maximum is 100.","per_page maximum increased to 1000.","Checks if boundary validation tests catch relaxed constraints.","manual-scripted","tests/Feature/Api/Integration/DocumentManagementTest.php"
"MUT-DOC-004","Integration Document Management API","DocumentManagementController::context","app/Http/Controllers/Api/Integration/DocumentManagementController.php","Operator header mapping","Key lookup alteration","Reads operator id from X-Operator-Id header.","Reads operator id from misspelled header X-Operator-Idx.","Assesses whether tests verify service context payload semantics.","manual-scripted","tests/Feature/Api/Integration/DocumentManagementTest.php"
